,date,Open,High,Low,Close,bitcoin
19364,2017-03-17 14:00:00,1143.84,1165.61,1143.84,1165.0,1.47265585426
19365,2017-03-17 15:00:00,1164.98,1165.67,1155.43,1158.84,1.49640836804
19366,2017-03-17 16:00:00,1159.64,1165.91,1150.01,1151.88,1.49640836804
19367,2017-03-17 17:00:00,1151.88,1153.05,1136.3,1136.3,1.52016088182
19368,2017-03-17 18:00:00,1136.3,1136.3,1115.0,1120.8,1.56766590938
19369,2017-03-17 19:00:00,1120.07,1130.92,1120.07,1123.46,1.52016088182
19370,2017-03-17 20:00:00,1126.18,1126.18,1110.0,1110.15,1.59141842316
19371,2017-03-17 21:00:00,1110.35,1113.14,1080.0,1111.0,1.75768601961
19372,2017-03-17 22:00:00,1110.98,1111.0,1069.99,1087.88,1.85269607472
19373,2017-03-17 23:00:00,1086.89,1091.44,1063.0,1071.02,1.97145864361
19374,2017-03-18 00:00:00,1068.16,1099.0,1068.14,1081.71,1.92395361606
19375,2017-03-18 01:00:00,1081.01,1095.0,1077.59,1079.42,1.75768601961
19376,2017-03-18 02:00:00,1077.68,1087.56,1056.32,1060.01,1.82894356094
19377,2017-03-18 03:00:00,1060.01,1070.6,1058.05,1060.14,1.85269607472
19378,2017-03-18 04:00:00,1060.0,1089.9,1060.0,1069.9,1.80519104716
19379,2017-03-18 05:00:00,1069.94,1077.59,1059.58,1066.11,1.71018099205
19380,2017-03-18 06:00:00,1071.64,1077.94,1062.9,1074.76,1.61517093694
19381,2017-03-18 07:00:00,1074.94,1077.0,1070.01,1074.66,1.5439133956
19382,2017-03-18 08:00:00,1071.66,1074.63,1065.57,1071.3,1.47265585426
19383,2017-03-18 09:00:00,1071.3,1089.0,1065.0,1089.0,1.44890334049
19384,2017-03-18 10:00:00,1088.99,1098.98,1084.26,1085.0,1.37764579915
19385,2017-03-18 11:00:00,1085.0,1090.92,1080.0,1086.37,1.35389328537
19386,2017-03-18 12:00:00,1086.02,1088.87,1057.35,1063.16,1.40139831293
19387,2017-03-18 13:00:00,1062.05,1066.31,1000.0,1029.68,1.5439133956
19388,2017-03-18 14:00:00,1026.71,1029.72,987.71,994.66,1.90020110228
19389,2017-03-18 15:00:00,994.65,1012.0,948.73,971.68,2.37525137785
19390,2017-03-18 16:00:00,974.05,1008.88,953.16,1006.92,2.16147875384
19391,2017-03-18 17:00:00,1003.45,1007.99,981.39,1004.0,1.97145864361
19392,2017-03-18 18:00:00,1004.0,1008.99,975.0,983.94,1.92395361606
19393,2017-03-18 19:00:00,983.96,996.09,975.0,979.9,2.0902212125
19394,2017-03-18 20:00:00,979.9,984.36,955.0,955.2,2.18523126762
19395,2017-03-18 21:00:00,955.35,981.0,945.0,981.0,2.30399383651
19396,2017-03-18 22:00:00,981.0,985.0,944.36,949.21,2.25648880895
19397,2017-03-18 23:00:00,949.21,972.0,945.51,969.4,2.32774635029
19398,2017-03-19 00:00:00,969.4,984.99,969.4,974.0,2.16147875384
19399,2017-03-19 01:00:00,974.0,997.19,974.0,989.02,1.99521115739
19400,2017-03-19 02:00:00,991.29,1009.99,989.95,1009.99,1.94770612983
19401,2017-03-19 03:00:00,1009.99,1011.0,995.31,998.93,1.85269607472
19402,2017-03-19 04:00:00,998.93,1001.52,981.01,1000.96,1.8764485885
19403,2017-03-19 05:00:00,1001.46,1005.58,997.73,1002.58,1.78143853338
